#FOODID	taxa
22000120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_NFS_ground_dehydrated;L4_;L5_;Pork_NS_as_to_cut_cooked_lean_only_eaten
22000210	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_NFS_ground_dehydrated;L4_;L5_;Pork_NS_as_to_cut_fried_lean_and_fat_eaten
22000220	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_NFS_ground_dehydrated;L4_;L5_;Pork_NS_as_to_cut_fried_lean_only_eaten
22002000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_NFS_ground_dehydrated;L4_;L5_;Pork_ground_or_patty_cooked
22101110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_chops;L4_;L5_;Pork_chop_broiled_or_baked_lean_and_fat_eaten
22101120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_chops;L4_;L5_;Pork_chop_broiled_or_baked_lean_only_eaten
22101220	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_chops;L4_;L5_;Pork_chop_fried_lean_only_eaten
22201220	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_steaks_cutlets;L4_;L5_;Pork_steak_or_cutlet_fried_lean_only_eaten
22201310	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_steaks_cutlets;L4_;L5_;Pork_steak_or_cutlet_breaded_or_floured_broiled_or_baked_lean_and_fat_eaten
22210350	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_steaks_cutlets;L4_;L5_;Pork_tenderloin_braised
22210400	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_steaks_cutlets;L4_;L5_;Pork_tenderloin_baked
22300120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Ham;L4_;L5_;Ham_fried_NS_as_to_fat_eaten
22311000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Ham;L4_;L5_;Ham_smoked_or_cured_cooked_NS_as_to_fat_eaten
22311010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Ham;L4_;L5_;Ham_smoked_or_cured_cooked_lean_and_fat_eaten
22311450	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Ham;L4_;L5_;Ham_prosciutto
22400120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_roasts;L4_;L5_;Pork_roast_NS_as_to_cut_cooked_lean_only_eaten
22401010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_roasts;L4_;L5_;Pork_roast_loin_cooked_lean_and_fat_eaten
22401020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_roasts;L4_;L5_;Pork_roast_loin_cooked_lean_only_eaten
22501010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Canadian_bacon;L4_;L5_;Canadian_bacon_cooked
22600200	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Bacon_salt_pork;L4_;L5_;Pork_bacon_NS_as_to_fresh_smoked_or_cured_cooked
22601000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Bacon_salt_pork;L4_;L5_;Pork_bacon_smoked_or_cured_cooked
22701000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Other_pork_items;L4_;L5_;Pork_spareribs_cooked_NS_as_to_fat_eaten
22701020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Other_pork_items;L4_;L5_;Pork_spareribs_cooked_lean_only_eaten
22701040	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Other_pork_items;L4_;L5_;Pork_spareribs_barbecued_with_sauce_lean_and_fat_eaten
22709010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Other_pork_items;L4_;L5_;Pork_skin_rinds_deepfried
23000100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Lamb_veal_game_other;L3_Lamb_NFS;L4_;L5_;Lamb_NS_as_to_cut_cooked
23101020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Lamb_veal_game_other;L3_Lamb_and_goat;L4_;L5_;Lamb_chop_NS_as_to_cut_cooked_lean_only_eaten
23110000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Lamb_veal_game_other;L3_Lamb_and_goat;L4_;L5_;Lamb_ribs_cooked_lean_only_eaten
23120120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Lamb_veal_game_other;L3_Lamb_and_goat;L4_;L5_;Lamb_roast_cooked_lean_only_eaten
23322100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Lamb_veal_game_other;L3_Game;L4_;L5_;Deer_bologna
24100000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_NS_as_to_part_and_cooking_method_NS_as_to_skin_eaten
24100020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_NS_as_to_part_and_cooking_method_skin_not_eaten
24102000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_NS_as_to_part_roasted_broiled_or_baked_NS_as_to_skin_eaten
24102010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_NS_as_to_part_roasted_broiled_or_baked_skin_eaten
24102020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_NS_as_to_part_roasted_broiled_or_baked_skin_not_eaten
24103020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_NS_as_to_part_stewed_skin_not_eaten
24104000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_NS_as_to_part_fried_no_coating_NS_as_to_skin_eaten_fat_added_in_cooking
24122100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_breast_roasted_broiled_or_baked_NS_as_to_skin_eaten
24122110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_breast_roasted_broiled_or_baked_skin_eaten
24122120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_breast_roasted_broiled_or_baked_skin_not_eaten
24123120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Poultry;L3_Chicken;L4_;L5_;Chicken_breast_stewed_skin_not_eaten
