# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	368.0	224.666666667	21605.6666667	3.2	103.6	2.0	234.666666667	100.8	2.5	2.33333333333	56.0	22975.75	61.6666666667	18285.0	19.2	19.6666666667	181.0	5.0	0.5	23.4	8012.75	0.5	1109.5	12050.0	207.333333333	1.2	1557.5	11.5	0.4	42.4	2.4	9213.66666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_angulatum	4.75	50.3333333333	138.166666667	1.6	19.4	1.2	31.6666666667	11.4	1.5	0.0	17.5	223.5	9.33333333333	115.0	0.4	0.666666666667	24.0	1.0	0.25	6.6	55.5	0.0	6.25	329.0	35.0	0.0	27.25	1.0	0.2	12.2	1.6	93.6666666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_animalis	4.25	15.1666666667	1.16666666667	0.4	0.2	0.0	1.66666666667	374.6	163.0	3.0	0.0	0.5	0.333333333333	0.0	0.0	0.666666666667	0.0	0.333333333333	22.5	269.8	0.0	0.5	0.0	18.5	10.6666666667	3.4	0.0	0.0	0.4	17.0	0.4	193.333333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_asteroides	0.0	0.166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	1.33333333333	0.0	0.25	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum	107.25	26.8333333333	39.0	0.6	35.4	0.2	21.6666666667	5.4	0.5	0.333333333333	1.25	8527.0	0.666666666667	35.0	3.4	0.333333333333	3.5	30.3333333333	0.0	3.6	16.5	0.0	2641.5	72.5	20.6666666667	0.2	20.75	6.0	0.0	6.4	0.2	9.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve	6.75	93.0	23.6666666667	20.0	57.2	1.0	90.3333333333	16.4	0.5	0.0	27.75	200.0	36.0	175.0	53.8	2.66666666667	13.0	253.0	0.0	7.2	28.75	0.0	8.0	187.5	19.6666666667	0.0	34.0	5.0	0.0	23.6	0.0	93.6666666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_dentium	0.0	39.1666666667	8.83333333333	0.0	21.4	2.8	42.3333333333	8.0	0.0	0.0	8.25	75.0	11.6666666667	13.0	0.0	0.0	0.5	0.666666666667	0.5	7.4	11.0	0.0	0.5	320.5	35.6666666667	0.0	13.75	0.5	0.0	9.0	0.0	6.66666666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	220.0	1504.0	622.0	781.6	1844.4	76.4	2130.33333333	230.4	6.5	0.666666666667	1152.0	4627.75	923.333333333	3154.0	4394.8	118.666666667	317.5	13886.3333333	0.75	394.2	709.5	1.0	357.0	10116.5	74.0	0.6	903.25	346.0	1.0	515.8	0.8	3910.33333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudolongum	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_scardovii	1.0	1.83333333333	3.33333333333	0.8	0.4	0.0	6.33333333333	0.8	0.0	0.0	2.25	9.25	1.0	11.0	4.2	0.333333333333	0.0	13.0	0.0	0.6	1.75	0.0	1.25	22.0	0.333333333333	0.0	0.5	0.0	0.0	0.6	0.0	5.0
